iter	Passed	Remaining
864	17151	2676
865	17174	2657
866	17196	2638
867	17217	2618
868	17232	2597
869	17248	2577
870	17263	2556
871	17290	2537
872	17309	2518
873	17325	2497
874	17340	2477
875	17363	2457
876	17384	2438
877	17407	2418
878	17428	2399
879	17447	2379
880	17463	2358
881	17477	2338
882	17493	2317
883	17510	2297
884	17531	2278
885	17550	2258
886	17568	2238
887	17594	2219
888	17620	2200
889	17645	2180
890	17664	2160
891	17681	2140
892	17696	2120
893	17712	2100
894	17727	2079
895	17747	2059
896	17769	2040
897	17787	2020
898	17801	1999
899	17819	1979
900	17842	1960
901	17866	1941
902	17887	1921
903	17907	1901
904	17928	1881
905	17944	1861
906	17960	1841
907	17980	1821
908	17998	1801
909	18017	1781
910	18033	1761
911	18051	1741
912	18069	1721
913	18092	1702
914	18116	1682
915	18136	1663
916	18154	1643
917	18171	1623
918	18187	1602
919	18204	1583
920	18222	1563
921	18243	1543
922	18261	1523
923	18282	1503
924	18308	1484
925	18331	1464
926	18349	1445
927	18368	1425
928	18385	1405
929	18400	1384
930	18416	1364
931	18437	1345
932	18455	1325
933	18473	1305
934	18488	1285
935	18510	1265
936	18532	1246
937	18559	1226
938	18581	1207
939	18599	1187
940	18615	1167
941	18630	1147
942	18647	1127
943	18670	1107
944	18690	1087
945	18705	1067
946	18723	1047
947	18744	1028
948	18767	1008
949	18787	988
950	18812	969
951	18833	949
952	18851	929
953	18866	909
954	18881	889
955	18900	869
956	18921	850
957	18941	830
958	18961	810
959	18985	791
960	19006	771
961	19025	751
962	19043	731
963	19060	711
964	19076	691
965	19091	671
966	19109	652
967	19129	632
968	19154	612
969	19175	593
970	19193	573
971	19217	553
972	19236	533
973	19256	514
974	19276	494
975	19291	474
976	19307	454
977	19321	434
978	19337	414
979	19354	394
980	19378	375
981	19401	355
982	19423	335
983	19444	316
984	19464	296
985	19484	276
986	19502	256
987	19518	237
988	19532	217
989	19547	197
990	19569	177
991	19588	157
992	19610	138
993	19628	118
994	19650	98
995	19671	79
996	19693	59
997	19716	39
998	19733	19
999	19753	0
